date,Ticker,BDH_Value,Return
10/10/2013,M9WO0RE Index,209.8601,0.014813583
10/11/2013,M9WO0RE Index,211.3744,0.007215759
10/14/2013,M9WO0RE Index,211.7579,0.001814316
10/15/2013,M9WO0RE Index,211.0196,-0.003486529
10/16/2013,M9WO0RE Index,213.5635,0.012055278
10/17/2013,M9WO0RE Index,216.2349,0.012508692
10/18/2013,M9WO0RE Index,216.921,0.003172938
10/21/2013,M9WO0RE Index,216.4991,-0.001944948
10/22/2013,M9WO0RE Index,218.2372,0.008028209
10/23/2013,M9WO0RE Index,217.6008,-0.002916093
10/24/2013,M9WO0RE Index,217.2646,-0.001545031
10/25/2013,M9WO0RE Index,217.3313,3.07E-04
10/28/2013,M9WO0RE Index,216.908,-0.001947718
10/29/2013,M9WO0RE Index,214.8928,-0.009290575
10/30/2013,M9WO0RE Index,214.5987,-0.001368589
10/31/2013,M9WO0RE Index,213.0418,-0.007254937
11/1/2013,M9WO0RE Index,212.9681,-3.46E-04
11/4/2013,M9WO0RE Index,213.395,0.002004526
11/5/2013,M9WO0RE Index,211.4152,-0.009277631
11/6/2013,M9WO0RE Index,211.4984,3.94E-04
11/7/2013,M9WO0RE Index,209.6903,-0.008549001
11/8/2013,M9WO0RE Index,207.8963,-0.008555474
11/11/2013,M9WO0RE Index,207.5908,-0.001469483
11/12/2013,M9WO0RE Index,207.7765,8.95E-04
11/13/2013,M9WO0RE Index,208.3099,0.002567182
11/14/2013,M9WO0RE Index,209.6763,0.006559458
11/15/2013,M9WO0RE Index,211.3357,0.007914104
11/18/2013,M9WO0RE Index,210.5899,-0.003528983
11/19/2013,M9WO0RE Index,209.3391,-0.005939506
11/20/2013,M9WO0RE Index,207.1735,-0.010344938
11/21/2013,M9WO0RE Index,206.6973,-0.002298557
11/22/2013,M9WO0RE Index,206.8923,9.43E-04
11/25/2013,M9WO0RE Index,206.1046,-0.003807295
11/26/2013,M9WO0RE Index,205.5409,-0.002735019
11/27/2013,M9WO0RE Index,206.4494,0.004420045
11/28/2013,M9WO0RE Index,206.8402,0.001892958
11/29/2013,M9WO0RE Index,205.3345,-0.007279533
12/2/2013,M9WO0RE Index,204.3713,-0.004690882
12/3/2013,M9WO0RE Index,204.1928,-8.73E-04
12/4/2013,M9WO0RE Index,203.867,-0.001595551
12/5/2013,M9WO0RE Index,203.0589,-0.003963859
12/6/2013,M9WO0RE Index,203.7294,0.003301998
12/9/2013,M9WO0RE Index,204.2552,0.002580874
12/10/2013,M9WO0RE Index,204.5545,0.001465324
12/11/2013,M9WO0RE Index,201.39,-0.015470205
12/12/2013,M9WO0RE Index,199.7635,-0.008076369
12/13/2013,M9WO0RE Index,199.9825,0.001096296
12/16/2013,M9WO0RE Index,199.8538,-6.44E-04
12/17/2013,M9WO0RE Index,200.1081,0.00127243
12/18/2013,M9WO0RE Index,202.5421,0.012163426
12/19/2013,M9WO0RE Index,201.9448,-0.002949017
12/20/2013,M9WO0RE Index,203.431,0.007359437
12/23/2013,M9WO0RE Index,203.6754,0.00120139
12/24/2013,M9WO0RE Index,204.0286,0.001734132
12/25/2013,M9WO0RE Index,204.0624,1.66E-04
12/26/2013,M9WO0RE Index,204.1924,6.37E-04
12/27/2013,M9WO0RE Index,204.0937,-4.83E-04
12/30/2013,M9WO0RE Index,205.19,0.005371552
12/31/2013,M9WO0RE Index,205.6118,0.002055656
1/1/2014,M9WO0RE Index,205.2688,-0.001668192
1/2/2014,M9WO0RE Index,205.0759,-9.40E-04
1/3/2014,M9WO0RE Index,205.1495,3.59E-04
1/6/2014,M9WO0RE Index,204.8347,-0.001534491
1/7/2014,M9WO0RE Index,205.0713,0.001155078
1/8/2014,M9WO0RE Index,204.442,-0.003068689
1/9/2014,M9WO0RE Index,204.4891,2.30E-04
1/10/2014,M9WO0RE Index,206.0363,0.007566173
1/13/2014,M9WO0RE Index,205.9044,-6.40E-04
1/14/2014,M9WO0RE Index,205.064,-0.004081506
1/15/2014,M9WO0RE Index,206.2419,0.00574406
1/16/2014,M9WO0RE Index,206.303,2.96E-04
1/17/2014,M9WO0RE Index,206.3921,4.32E-04
1/20/2014,M9WO0RE Index,206.2031,-9.16E-04
1/21/2014,M9WO0RE Index,207.2916,0.005278776
1/22/2014,M9WO0RE Index,207.4986,9.99E-04
1/23/2014,M9WO0RE Index,206.0274,-0.007090168
1/24/2014,M9WO0RE Index,203.5792,-0.011882885
1/27/2014,M9WO0RE Index,201.8446,-0.008520517
1/28/2014,M9WO0RE Index,202.6365,0.003923315
1/29/2014,M9WO0RE Index,202.7151,3.88E-04
1/30/2014,M9WO0RE Index,202.2135,-0.002474409
1/31/2014,M9WO0RE Index,202.8778,0.003285142
2/3/2014,M9WO0RE Index,200.7085,-0.010692644
2/4/2014,M9WO0RE Index,200.3654,-0.001709444
2/5/2014,M9WO0RE Index,200.6474,0.001407429
2/6/2014,M9WO0RE Index,201.7646,0.005567976
2/7/2014,M9WO0RE Index,203.688,0.009532891
2/10/2014,M9WO0RE Index,204.9569,0.006229626
2/11/2014,M9WO0RE Index,205.6447,0.003355827
2/12/2014,M9WO0RE Index,206.7433,0.005342224
2/13/2014,M9WO0RE Index,206.6544,-4.30E-04
2/14/2014,M9WO0RE Index,207.0191,0.001764782
2/17/2014,M9WO0RE Index,207.4457,0.002060679
2/18/2014,M9WO0RE Index,209.1162,0.00805271
2/19/2014,M9WO0RE Index,209.2746,7.57E-04
2/20/2014,M9WO0RE Index,208.1619,-0.005316938
2/21/2014,M9WO0RE Index,208.729,0.002724322
2/24/2014,M9WO0RE Index,208.711,-8.62E-05
2/25/2014,M9WO0RE Index,209.4324,0.003456454
2/26/2014,M9WO0RE Index,208.8878,-0.002600362
2/27/2014,M9WO0RE Index,208.7712,-5.58E-04
2/28/2014,M9WO0RE Index,209.0921,0.001537089
3/3/2014,M9WO0RE Index,207.788,-0.006236964
3/4/2014,M9WO0RE Index,210.2768,0.011977593
3/5/2014,M9WO0RE Index,210.5769,0.001427166
3/6/2014,M9WO0RE Index,211.361,0.00372358
3/7/2014,M9WO0RE Index,210.3977,-0.004557605
3/10/2014,M9WO0RE Index,208.2074,-0.010410285
3/11/2014,M9WO0RE Index,209.159,0.004570443
3/12/2014,M9WO0RE Index,207.6897,-0.007024799
3/13/2014,M9WO0RE Index,206.2947,-0.006716751
3/14/2014,M9WO0RE Index,205.7129,-0.002820237
3/17/2014,M9WO0RE Index,206.1223,0.001990152
3/18/2014,M9WO0RE Index,207.3848,0.006125004
3/19/2014,M9WO0RE Index,205.2876,-0.010112602
3/20/2014,M9WO0RE Index,202.7693,-0.01226718
3/21/2014,M9WO0RE Index,204.4959,0.008515096
3/24/2014,M9WO0RE Index,205.5808,0.005305241
3/25/2014,M9WO0RE Index,205.8981,0.001543432
3/26/2014,M9WO0RE Index,204.3513,-0.007512454
3/27/2014,M9WO0RE Index,205.5507,0.005869304
3/28/2014,M9WO0RE Index,206.9131,0.006628048
3/31/2014,M9WO0RE Index,208.1884,0.006163457
4/1/2014,M9WO0RE Index,209.1183,0.004466627
4/2/2014,M9WO0RE Index,210.3946,0.006103244
4/3/2014,M9WO0RE Index,210.4767,3.90E-04
4/4/2014,M9WO0RE Index,211.8453,0.006502382
4/7/2014,M9WO0RE Index,211.55,-0.001393942
4/8/2014,M9WO0RE Index,212.3051,0.003569369
4/9/2014,M9WO0RE Index,211.3578,-0.004461975
4/10/2014,M9WO0RE Index,211.3578,0
4/11/2014,M9WO0RE Index,209.9285,-0.006762466
4/14/2014,M9WO0RE Index,210.5173,0.002804764
4/15/2014,M9WO0RE Index,211.3353,0.003885666
4/16/2014,M9WO0RE Index,213.2731,0.009169315
4/17/2014,M9WO0RE Index,212.6233,-0.003046798
4/18/2014,M9WO0RE Index,212.8644,0.00113393
4/21/2014,M9WO0RE Index,212.993,6.04E-04
4/22/2014,M9WO0RE Index,213.5515,0.002622152
4/23/2014,M9WO0RE Index,213.0319,-0.002433137
4/24/2014,M9WO0RE Index,213.7851,0.003535621
4/25/2014,M9WO0RE Index,212.7413,-0.004882473
4/28/2014,M9WO0RE Index,213.4064,0.003126332
